2020-07-03 22:57:48.818740
Learning rate: 5e-06, Weight decay: 1e-06, LR adjust start: 20000, Dropout: 0.01
Overall Results
ys:rmse   mean=26.175643920898438 std=13.582036972045898
ys:nrmse  mean=0.10229281341662856 std=0.06328343585381786
ys:r2     mean=0.6038859683954932 std=0.21306878977964375
ys:adj-r2 mean=1.320663739870315 std=0.172484258393045
--------------------
el:rmse   mean=0.018307890743017197 std=0.0033083895687013865
el:nrmse  mean=0.1048819985285453 std=0.04445549475750379
el:r2     mean=0.9664365854480704 std=0.013476717141768506
el:adj-r2 mean=1.0271703832087047 std=0.01090972340047929


2020-07-03 23:39:42.944497
Learning rate: 5e-06, Weight decay: 1e-06, LR adjust start: 20000, Dropout: 0.05
Overall Results
ys:rmse   mean=31.015119552612305 std=6.883711338043213
ys:nrmse  mean=0.11603103652518872 std=0.029013673872747708
ys:r2     mean=0.2591388385972848 std=0.6071467105165506
ys:adj-r2 mean=1.59974474970696 std=0.49149971803720754
--------------------
el:rmse   mean=0.021066874265670776 std=0.0059326267801225185
el:nrmse  mean=0.10995188074941364 std=0.016021437067101827
el:r2     mean=0.9528355117673409 std=0.031171575014036133
el:adj-r2 mean=1.038180776188343 std=0.025234132154219754


2020-07-04 00:21:34.615037
Learning rate: 5e-06, Weight decay: 1e-06, LR adjust start: 20000, Dropout: 0.1
Overall Results
ys:rmse   mean=29.609891891479492 std=3.710352897644043
ys:nrmse  mean=0.11172550560438839 std=0.025557851467117042
ys:r2     mean=0.4377986856229457 std=0.25555957895141523
ys:adj-r2 mean=1.4551153497338059 std=0.20688156391305035
--------------------
el:rmse   mean=0.022438155487179756 std=0.00341260083951056
el:nrmse  mean=0.12378957666455591 std=0.03595742226618755
el:r2     mean=0.9500313337378751 std=0.020838137172179506
el:adj-r2 mean=1.0404508250693392 std=0.01686896818700249


2020-07-04 01:03:42.373597
Learning rate: 5e-06, Weight decay: 1e-06, LR adjust start: 20000, Dropout: 0.15
Overall Results
ys:rmse   mean=20.609086990356445 std=6.4010820388793945
ys:nrmse  mean=0.07809298647148531 std=0.02906696298032425
ys:r2     mean=0.6930690226378361 std=0.23926613554015438
ys:adj-r2 mean=1.2484679340550853 std=0.19369163353250596
--------------------
el:rmse   mean=0.02690318040549755 std=0.003090714802965522
el:nrmse  mean=0.15264353319055654 std=0.05708656619135994
el:r2     mean=0.9295661737094473 std=0.021840527265353384
el:adj-r2 mean=1.0570178593780664 std=0.01768042683385743


2020-07-04 01:46:39.427800
Learning rate: 5e-06, Weight decay: 1e-06, LR adjust start: 20000, Dropout: 0.2
Overall Results
ys:rmse   mean=30.573623657226562 std=5.218900203704834
ys:nrmse  mean=0.11602277766889106 std=0.0320751633362108
ys:r2     mean=0.4473526577487629 std=0.128456453376227
ys:adj-r2 mean=1.44738118182243 std=0.10398855749504096
--------------------
el:rmse   mean=0.020885439589619637 std=0.0014894017949700356
el:nrmse  mean=0.11671433976727728 std=0.03639927347802761
el:r2     mean=0.958178649980856 std=0.010607827287585178
el:adj-r2 mean=1.033855378586926 std=0.008587288756616511


2020-07-04 02:29:40.948535
Learning rate: 1e-05, Weight decay: 1e-06, LR adjust start: 20000, Dropout: 0.01
Overall Results
ys:rmse   mean=22.09229278564453 std=10.673185348510742
ys:nrmse  mean=0.08326373481144989 std=0.04124857861875822
ys:r2     mean=0.5471545266049896 std=0.47384464089522393
ys:adj-r2 mean=1.3665891927483418 std=0.3835885188199432
--------------------
el:rmse   mean=0.0177884791046381 std=0.00040291238110512495
el:nrmse  mean=0.09984678487672088 std=0.0314335159678311
el:r2     mean=0.9703804131716757 std=0.0023719406657428336
el:adj-r2 mean=1.0239777607657863 std=0.0019201424436966065


2020-07-04 03:13:18.486431
Learning rate: 1e-05, Weight decay: 1e-06, LR adjust start: 20000, Dropout: 0.05
Overall Results
ys:rmse   mean=22.26123046875 std=7.4747314453125
ys:nrmse  mean=0.08402775193473012 std=0.03172146776436842
ys:r2     mean=0.6145188043934658 std=0.3378262003894064
ys:adj-r2 mean=1.3120562059671943 std=0.27347835269618626
--------------------
el:rmse   mean=0.02697654627263546 std=0.007260014768689871
