2020-06-29 07:40:31.358953
Learning rate: 1e-06, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.2
Overall Results
ys:rmse   mean=22.473342895507812 std=17.559988021850586
ys:nrmse  mean=0.08419060824199959 std=0.06429576221879381
ys:r2     mean=-0.7595948431468315 std=2.6429197544907495
ys:adj-r2 mean=3.810852820296428 std=4.115405199204131
--------------------
el:rmse   mean=0.024597803130745888 std=0.012492903508245945
el:nrmse  mean=0.15947049042708886 std=0.10664450450326299
el:r2     mean=0.7451194451010552 std=0.29800709402256365
el:adj-r2 mean=1.4037559858030886 std=0.458074206615277


2020-06-29 10:08:02.326143
Learning rate: 1e-06, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.4
Overall Results
ys:rmse   mean=34.452392578125 std=26.360605239868164
ys:nrmse  mean=0.1302605079950058 std=0.09881934017768342
ys:r2     mean=-4.281112845611075 std=11.17699864100154
ys:adj-r2 mean=9.200668986295904 std=17.137011141266093
--------------------
el:rmse   mean=0.023493830114603043 std=0.011499752290546894
el:nrmse  mean=0.16216906567043948 std=0.1430099088717678
el:r2     mean=0.6053782466781936 std=0.7814803875252709
el:adj-r2 mean=1.6091608212366353 std=1.1969953047007826


2020-06-29 12:36:21.805734
Learning rate: 1e-06, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.6
Overall Results
ys:rmse   mean=44.26471710205078 std=25.2336368560791
ys:nrmse  mean=0.16586103103195632 std=0.09506512369812758
ys:r2     mean=-5.039650288963018 std=7.058801479677332
ys:adj-r2 mean=10.602292053537418 std=11.02582375586265
--------------------
el:rmse   mean=0.041480015963315964 std=0.01825638860464096
el:nrmse  mean=0.25701731484951745 std=0.16799529320765325
el:r2     mean=0.3055684778340179 std=0.8050383729514609
el:adj-r2 mean=2.075782395186461 std=1.227849110975209


2020-06-29 15:05:15.545346
Learning rate: 1e-06, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.8
Overall Results
ys:rmse   mean=83.65526580810547 std=47.17007827758789
ys:nrmse  mean=0.30683123293996195 std=0.1622198345205932
ys:r2     mean=-20.358244588359533 std=25.25477241756087
ys:adj-r2 mean=35.760180519494355 std=42.077502587773296
--------------------
el:rmse   mean=0.05402436852455139 std=0.015585335902869701
el:nrmse  mean=0.3943923735350863 std=0.3455213152147428
el:r2     mean=-0.7893663148424778 std=2.816414032655392
el:adj-r2 mean=3.789253357768562 std=4.313336185948177


2020-06-29 17:32:42.971632
Learning rate: 1e-06, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.9
Overall Results
ys:rmse   mean=149.92941284179688 std=35.903160095214844
ys:nrmse  mean=0.5512723462160808 std=0.10601998711664108
ys:r2     mean=-106.76675244145576 std=124.34239101921403
ys:adj-r2 mean=171.18965769081905 std=194.18530955542644
--------------------
el:rmse   mean=0.12276426702737808 std=0.046800315380096436
el:nrmse  mean=0.792230109902554 std=0.6095360687224226
el:r2     mean=-8.494126477694182 std=15.270081734862448
el:adj-r2 mean=15.730015321533452 std=23.39637564066437


2020-06-29 20:02:05.101696
Learning rate: 1e-06, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.2
Overall Results
ys:rmse   mean=25.456031799316406 std=21.518131256103516
ys:nrmse  mean=0.09249554901634897 std=0.07538319390767263
ys:r2     mean=-1.2488139134774294 std=2.519896924321953
ys:adj-r2 mean=4.684787312061525 std=4.28186996962493
--------------------
el:rmse   mean=0.017339933663606644 std=0.009419922716915607
el:nrmse  mean=0.12557644271619034 std=0.10292090477820755
el:r2     mean=0.8298547329972596 std=0.20199766648392697
el:adj-r2 mean=1.2659206675663537 std=0.31075947914690566


2020-06-29 22:31:23.881114
Learning rate: 1e-06, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.4
Overall Results
ys:rmse   mean=29.807098388671875 std=27.64801025390625
ys:nrmse  mean=0.11115910553165231 std=0.09794967520692296
ys:r2     mean=-1.1913063026130102 std=2.3777682846930253
ys:adj-r2 mean=4.53777360807852 std=3.8667511690682543
--------------------
el:rmse   mean=0.023657239973545074 std=0.007717183791100979
el:nrmse  mean=0.16135958563512093 std=0.13010717104602723
el:r2     mean=0.7394732117487096 std=0.28400243906135
el:adj-r2 mean=1.4061872140735256 std=0.43424563552766215


2020-06-30 00:59:22.287160
Learning rate: 1e-06, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.6
Overall Results
ys:rmse   mean=48.26184844970703 std=26.160829544067383
ys:nrmse  mean=0.18181108763636983 std=0.09795909317845924
ys:r2     mean=-4.361640249664532 std=5.145794665285409
ys:adj-r2 mean=9.605845206354479 std=8.08408359468099
--------------------
el:rmse   mean=0.029036391526460648 std=0.011261233128607273
