2020-06-03 08:19:59.785071
Learning rate: 0.0001, Weight decay: 1e-05, LR adjust start: 1000
Overall Results
ys:rmse   mean=16.564783096313477 std=22.54641342163086
ys:nrmse  mean=0.060033273422137746 std=0.07871100129167073
ys:r2     mean=-0.023324094784186955 std=1.6764298837608684
ys:adj-r2 mean=2.7251590106983623 std=2.8747544619247947
--------------------
el:rmse   mean=0.01624658703804016 std=0.008760242722928524
el:nrmse  mean=0.11393185204393722 std=0.09022628950922458
el:r2     mean=0.843986550730817 std=0.26015051343203216
el:adj-r2 mean=1.2430262055834151 std=0.3979862251627577


2020-06-03 08:53:48.555704
Learning rate: 0.0001, Weight decay: 1e-05, LR adjust start: 1000
Overall Results
ys:rmse   mean=16.564783096313477 std=22.54641342163086
ys:nrmse  mean=0.060033273422137746 std=0.07871100129167073
ys:r2     mean=-0.023324094784186955 std=1.6764298837608684
ys:adj-r2 mean=2.7251590106983623 std=2.8747544619247947
--------------------
el:rmse   mean=0.01624658703804016 std=0.008760242722928524
el:nrmse  mean=0.11393185204393722 std=0.09022628950922458
el:r2     mean=0.843986550730817 std=0.26015051343203216
el:adj-r2 mean=1.2430262055834151 std=0.3979862251627577


2020-06-03 09:22:28.133761
Learning rate: 0.0001, Weight decay: 1e-05, LR adjust start: 1000
Overall Results
ys:rmse   mean=16.252317428588867 std=19.918739318847656
ys:nrmse  mean=0.06081071026294884 std=0.07270950955334624
ys:r2     mean=0.3284264712396471 std=0.905346508335145
ys:adj-r2 mean=2.107914296551433 std=1.5477038321309178
--------------------
el:rmse   mean=0.012697214260697365 std=0.006261222995817661
el:nrmse  mean=0.0999002686278232 std=0.09335502198170878
el:r2     mean=0.8558048121743369 std=0.27080377484540763
el:adj-r2 mean=1.2234161536738495 std=0.41498191310582144


2020-06-03 09:51:18.040044
Learning rate: 0.0001, Weight decay: 1e-05, LR adjust start: 1000
Overall Results
ys:rmse   mean=13.5805082321167 std=14.766603469848633
ys:nrmse  mean=0.05121655466229946 std=0.054234731079430575
ys:r2     mean=0.5934923074104208 std=0.5183938675212934
ys:adj-r2 mean=1.6720518017614872 std=0.8883019769512551
--------------------
el:rmse   mean=0.013733552768826485 std=0.004937989637255669
el:nrmse  mean=0.09915845388779103 std=0.07974175722971927
el:r2     mean=0.8817195109250839 std=0.2167456163832836
el:adj-r2 mean=1.1842379988904286 std=0.3317055164878757


2020-06-03 10:22:18.069088
Learning rate: 0.0001, Weight decay: 1e-05, LR adjust start: 5000
Overall Results
ys:rmse   mean=14.551000595092773 std=17.82828140258789
ys:nrmse  mean=0.05451394966130454 std=0.0639223210740069
ys:r2     mean=0.5303789450677188 std=0.7235023268136143
ys:adj-r2 mean=1.7800036421867376 std=1.2441272223827575
--------------------
el:rmse   mean=0.012312358245253563 std=0.004536308813840151
el:nrmse  mean=0.09641257793505828 std=0.0951826116443501
el:r2     mean=0.8762525856640572 std=0.26262047537456407
el:adj-r2 mean=1.1925201009431887 std=0.4022457106053306


2020-06-03 10:53:55.271056
Learning rate: 0.0001, Weight decay: 1e-05, LR adjust start: 5000
Overall Results
ys:rmse   mean=14.843229293823242 std=20.879608154296875
