2020-07-03 23:28:04.386679
Learning rate: 5e-06, Weight decay: 1e-06, LR adjust start: 20000, Dropout: 0.01
Overall Results
ys:rmse   mean=20.77973747253418 std=9.488617897033691
ys:nrmse  mean=0.07858998729933407 std=0.03793856982344656
ys:r2     mean=0.6250041626458429 std=0.3714328314939579
ys:adj-r2 mean=1.303568058810508 std=0.300683720733204
--------------------
el:rmse   mean=0.017560074105858803 std=0.0025496832095086575
el:nrmse  mean=0.10306941784028374 std=0.047373927132708174
el:r2     mean=0.9709554083897866 std=0.0073663688471006915
el:adj-r2 mean=1.0235122884463632 std=0.005963250971462452


2020-07-04 00:36:54.550338
Learning rate: 5e-06, Weight decay: 1e-06, LR adjust start: 20000, Dropout: 0.05
Overall Results
ys:rmse   mean=22.09718894958496 std=10.005680084228516
ys:nrmse  mean=0.08272610580886887 std=0.0372600432974285
ys:r2     mean=0.533602817213397 std=0.5022753677350271
ys:adj-r2 mean=1.3775596241605832 std=0.4066038691188315
--------------------
el:rmse   mean=0.016987696290016174 std=0.0037646074779331684
el:nrmse  mean=0.10222014979264737 std=0.056723107902767377
el:r2     mean=0.9713949704022414 std=0.01298143813931997
el:adj-r2 mean=1.0231564525315189 std=0.010508783255639951


2020-07-04 01:45:43.653685
Learning rate: 5e-06, Weight decay: 1e-06, LR adjust start: 20000, Dropout: 0.1
Overall Results
ys:rmse   mean=23.570724487304688 std=8.78780746459961
ys:nrmse  mean=0.08737188297623 std=0.030434807828074
ys:r2     mean=0.4706120525824256 std=0.563870502546176
ys:adj-r2 mean=1.428552147909465 std=0.45646659729928524
--------------------
el:rmse   mean=0.016279106959700584 std=0.0032153762876987457
el:nrmse  mean=0.09683576610352722 std=0.05066519749995351
el:r2     mean=0.973832864939849 std=0.01062179074230423
el:adj-r2 mean=1.0211829188582173 std=0.008598592505674886


2020-07-04 02:54:23.508271
Learning rate: 5e-06, Weight decay: 1e-06, LR adjust start: 20000, Dropout: 0.15
Overall Results
ys:rmse   mean=19.291826248168945 std=10.257798194885254
ys:nrmse  mean=0.07280915961942167 std=0.039385889881978456
ys:r2     mean=0.6397864314413219 std=0.3847940891197577
ys:adj-r2 mean=1.2916014602617871 std=0.31149997690647047
--------------------
el:rmse   mean=0.018818378448486328 std=0.0027723570819944143
el:nrmse  mean=0.110661266295682 std=0.05154770385609514
el:r2     mean=0.9665799432007738 std=0.008852283794712973
el:adj-r2 mean=1.0270543316946117 std=0.007166134500481949


2020-07-04 04:02:41.214691
Learning rate: 5e-06, Weight decay: 1e-06, LR adjust start: 20000, Dropout: 0.2
Overall Results
ys:rmse   mean=18.759864807128906 std=6.580959320068359
ys:nrmse  mean=0.07143905480110933 std=0.030013181866594258
ys:r2     mean=0.7513781350606267 std=0.1884776740457979
ys:adj-r2 mean=1.2012653192366356 std=0.15257716470374116
--------------------
el:rmse   mean=0.017308639362454414 std=0.004529965575784445
el:nrmse  mean=0.10555851367392886 std=0.06124031905795911
el:r2     mean=0.9705343336720312 std=0.0148864543226307
el:adj-r2 mean=1.0238531584559747 std=0.012050939213558171


2020-07-04 05:12:03.257173
Learning rate: 1e-05, Weight decay: 1e-06, LR adjust start: 20000, Dropout: 0.01
Overall Results
ys:rmse   mean=20.17201042175293 std=7.947394371032715
ys:nrmse  mean=0.07663715910193396 std=0.03415605268556838
ys:r2     mean=0.6881763300663101 std=0.2695835081896168
ys:adj-r2 mean=1.2524286851844157 std=0.21823426853445171
--------------------
el:rmse   mean=0.016742553561925888 std=0.005461803637444973
el:nrmse  mean=0.10263608776415865 std=0.06116111061859239
el:r2     mean=0.9719835602784835 std=0.01537147245289705
el:adj-r2 mean=1.0226799750126563 std=0.012443572938059566


2020-07-04 06:20:18.077132
Learning rate: 1e-05, Weight decay: 1e-06, LR adjust start: 20000, Dropout: 0.05
Overall Results
ys:rmse   mean=20.662616729736328 std=9.826775550842285
ys:nrmse  mean=0.07676286419136157 std=0.034627105624022575
ys:r2     mean=0.5559073804677396 std=0.506145568061816
ys:adj-r2 mean=1.3595035491451632 std=0.40973688843099393
--------------------
el:rmse   mean=0.017080022022128105 std=0.0030447866301983595
el:nrmse  mean=0.10169975144360477 std=0.052390791758113585
el:r2     mean=0.9717114622134781 std=0.010540021004967244
el:adj-r2 mean=1.0229002448748037 std=0.00853239795640206


2020-07-04 07:29:41.958929
Learning rate: 1e-05, Weight decay: 1e-06, LR adjust start: 20000, Dropout: 0.1
Overall Results
ys:rmse   mean=18.939157485961914 std=8.036413192749023
ys:nrmse  mean=0.07231665680417805 std=0.0350903215970514
ys:r2     mean=0.7333104675436742 std=0.22074761540637042
ys:adj-r2 mean=1.2158915262741685 std=0.17870045056706174
--------------------
el:rmse   mean=0.015724442899227142 std=0.003147664712741971
el:nrmse  mean=0.09435579082823041 std=0.05029477778900139
el:r2     mean=0.9760924618033683 std=0.009633027099257882
el:adj-r2 mean=1.0193537213972734 std=0.007798164794637343


2020-07-04 08:37:54.489750
Learning rate: 1e-05, Weight decay: 1e-06, LR adjust start: 20000, Dropout: 0.15
Overall Results
ys:rmse   mean=20.899381637573242 std=9.094799995422363
ys:nrmse  mean=0.07819666105110419 std=0.033865376953861534
ys:r2     mean=0.5884412501925423 std=0.4390878745568635
ys:adj-r2 mean=1.3331666069869896 std=0.35545208892698466
--------------------
el:rmse   mean=0.0180098544806242 std=0.0030292163137346506
el:nrmse  mean=0.10700868873657454 std=0.054075324470806804
el:r2     mean=0.9687710077543942 std=0.010903518294756076
el:adj-r2 mean=1.0252806127702525 std=0.008826657667183433


2020-07-04 09:47:24.322967
Learning rate: 1e-05, Weight decay: 1e-06, LR adjust start: 20000, Dropout: 0.2
Overall Results
ys:rmse   mean=20.762386322021484 std=9.424178123474121
ys:nrmse  mean=0.07900228443319086 std=0.03936287891789305
ys:r2     mean=0.6521560364494202 std=0.31864294132825904
ys:adj-r2 mean=1.2815879704933264 std=0.257949047741924
--------------------
el:rmse   mean=0.016367783769965172 std=0.003044492332264781
el:nrmse  mean=0.09754702881051787 std=0.0496122589074294
el:r2     mean=0.974401127236726 std=0.009052672892958307
el:adj-r2 mean=1.0207228969988407 std=0.007328354246680469


2020-07-04 10:56:34.175030
Learning rate: 0.0001, Weight decay: 1e-06, LR adjust start: 20000, Dropout: 0.01
Overall Results
ys:rmse   mean=24.77872657775879 std=11.326530456542969
ys:nrmse  mean=0.0951113867853818 std=0.05003882462794813
ys:r2     mean=0.5581119353237384 std=0.3471296110517787
ys:adj-r2 mean=1.357718909499831 std=0.28100968513715424
--------------------
el:rmse   mean=0.01658194325864315 std=0.00536245945841074
el:nrmse  mean=0.10224342543820165 std=0.06259596554062999
el:r2     mean=0.9723904897007508 std=0.015891090868211357
el:adj-r2 mean=1.0223505559565351 std=0.01286421641712351


2020-07-04 12:04:57.197003
Learning rate: 0.0001, Weight decay: 1e-06, LR adjust start: 20000, Dropout: 0.05
Overall Results
ys:rmse   mean=20.284482955932617 std=7.7169952392578125
ys:nrmse  mean=0.07648876096285188 std=0.03137689749762073
ys:r2     mean=0.6607693328830325 std=0.32036377306017394
ys:adj-r2 mean=1.2746153019518307 std=0.2593421020010932
--------------------
el:rmse   mean=0.0171078909188509 std=0.005252821370959282
el:nrmse  mean=0.10380432678213004 std=0.06324129102753313
el:r2     mean=0.9691934480498254 std=0.017187464906307282
el:adj-r2 mean=1.0249386372929985 std=0.013913662067010635


2020-07-04 13:14:16.607197
Learning rate: 0.0001, Weight decay: 1e-06, LR adjust start: 20000, Dropout: 0.1
Overall Results
ys:rmse   mean=24.97675132751465 std=12.661354064941406
ys:nrmse  mean=0.094886011207385 std=0.05096717177721961
ys:r2     mean=0.45286218683858653 std=0.5394814106422297
ys:adj-r2 mean=1.4429210868449538 std=0.4367230467103765
--------------------
el:rmse   mean=0.01584027148783207 std=0.005547263193875551
el:nrmse  mean=0.09893778525607888 std=0.06445419291530753
el:r2     mean=0.9742479410544482 std=0.01678098119879316
el:adj-r2 mean=1.0208469048606847 std=0.013584603827594414


2020-07-04 14:24:30.406385
Learning rate: 0.0001, Weight decay: 1e-06, LR adjust start: 20000, Dropout: 0.15
Overall Results
ys:rmse   mean=20.164331436157227 std=10.618627548217773
ys:nrmse  mean=0.07482868613270906 std=0.037146637872484116
ys:r2     mean=0.5501989719471913 std=0.5292002147674628
ys:adj-r2 mean=1.3641246417570356 std=0.4284001738593747
--------------------
el:rmse   mean=0.016012141481041908 std=0.006274188868701458
