2020-06-06 12:33:11.345474
Learning rate: 0.0001, Weight decay: 1e-05, LR adjust start: 20000
Overall Results
ys:rmse   mean=19.21257972717285 std=20.705036163330078
ys:nrmse  mean=0.06934131764327581 std=0.07254322067930806
ys:r2     mean=0.14275542475190556 std=1.2909699756848456
ys:adj-r2 mean=2.0558638018129765 std=1.5965360932583024
--------------------
el:rmse   mean=0.012748487293720245 std=0.0018001558491960168
el:nrmse  mean=0.0749019619447691 std=0.0335887900213843
el:r2     mean=0.9766329877007603 std=0.0170534449805997
el:adj-r2 mean=1.0280682631812286 std=0.021337043303419952


2020-06-06 13:26:58.867881
Learning rate: 0.0001, Weight decay: 1e-05, LR adjust start: 30000
Overall Results
ys:rmse   mean=18.413700103759766 std=14.335794448852539
ys:nrmse  mean=0.06711167831218048 std=0.04976235780936111
ys:r2     mean=0.2917861781027603 std=0.8215677736451819
ys:adj-r2 mean=1.8708478834479636 std=1.0178325594569961
--------------------
el:rmse   mean=0.013441639952361584 std=0.0028607919812202454
el:nrmse  mean=0.08100616974996269 std=0.040700834815879654
el:r2     mean=0.9752721386444545 std=0.01419915659236896
el:adj-r2 mean=1.0298822603334996 std=0.017940712251807857


2020-06-06 14:29:36.453217
Learning rate: 0.0001, Weight decay: 1e-05, LR adjust start: 40000
Overall Results
ys:rmse   mean=17.37272071838379 std=18.95527458190918
ys:nrmse  mean=0.06230411187368947 std=0.06636520399443885
ys:r2     mean=0.24852141745617873 std=1.0749519261467475
ys:adj-r2 mean=1.9256392653663732 std=1.3295348675226364
--------------------
el:rmse   mean=0.013684449717402458 std=0.0028016511350870132
el:nrmse  mean=0.0832350057400749 std=0.043247246729508526
el:r2     mean=0.9754170068113908 std=0.012282551901390113
el:adj-r2 mean=1.0295668379961125 std=0.015552554126801094


2020-06-06 15:17:58.824172
Learning rate: 0.0003, Weight decay: 1e-05, LR adjust start: 20000
Overall Results
ys:rmse   mean=18.299449920654297 std=20.614564895629883
ys:nrmse  mean=0.06612512579523622 std=0.07231833977109423
ys:r2     mean=0.2281602660306727 std=1.2525209567683568
ys:adj-r2 mean=1.9505847281113802 std=1.5487739376638836
--------------------
el:rmse   mean=0.013370184227824211 std=0.002770234365016222
el:nrmse  mean=0.08136155000283492 std=0.04253423567273427
el:r2     mean=0.9764076773187259 std=0.012134739709329418
el:adj-r2 mean=1.028371714130414 std=0.01533762861706434


2020-06-06 16:20:09.965487
Learning rate: 0.0003, Weight decay: 1e-05, LR adjust start: 30000
Overall Results
ys:rmse   mean=15.965827941894531 std=18.344202041625977
ys:nrmse  mean=0.05800257258178576 std=0.06439882086116823
ys:r2     mean=0.4360110396909217 std=0.9856033483283719
ys:adj-r2 mean=1.6943167316139007 std=1.2186711818494167
--------------------
el:rmse   mean=0.014419635757803917 std=0.0027715188916772604
el:nrmse  mean=0.08721056794943986 std=0.043759510130217366
el:r2     mean=0.9730192289993699 std=0.012680408208405254
el:adj-r2 mean=1.0324967256181876 std=0.0162143715967896


2020-06-06 17:27:40.415702
Learning rate: 0.0003, Weight decay: 1e-05, LR adjust start: 40000
Overall Results
ys:rmse   mean=13.530145645141602 std=15.374048233032227
ys:nrmse  mean=0.049424023546491176 std=0.053843169103964784
ys:r2     mean=0.5955595463715604 std=0.7020450360589846
ys:adj-r2 mean=1.4985781826752582 std=0.8677892788370057
--------------------
el:rmse   mean=0.014383095316588879 std=0.003269075183197856
el:nrmse  mean=0.08712571661026937 std=0.04556352588405399
el:r2     mean=0.9710068960598098 std=0.018334534526111834
