2020-06-29 08:31:56.213121
Learning rate: 1e-06, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.2
Overall Results
ys:rmse   mean=41.48953628540039 std=26.81131362915039
ys:nrmse  mean=0.16760275926180598 std=0.1344937413644079
ys:r2     mean=-2.3803261059020047 std=2.627944626706054
ys:adj-r2 mean=6.326464974993041 std=4.076849330338805
--------------------
el:rmse   mean=0.04555164650082588 std=0.015127512626349926
el:nrmse  mean=0.28525992305766235 std=0.1573639692855106
el:r2     mean=0.22979408882094443 std=0.7566347081813987
el:adj-r2 mean=2.205116570912616 std=1.1549006900270165


2020-06-29 11:58:22.150974
Learning rate: 1e-06, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.4
Overall Results
ys:rmse   mean=77.52062225341797 std=33.242156982421875
ys:nrmse  mean=0.2943813758557011 std=0.137347417610134
ys:r2     mean=-16.387989108365428 std=19.686926635458537
ys:adj-r2 mean=28.121992509145304 std=30.0240332627345
--------------------
el:rmse   mean=0.06534081697463989 std=0.019972506910562515
el:nrmse  mean=0.4472514449081892 std=0.32479865673305147
el:r2     mean=-0.5738122750668095 std=1.290475894980656
el:adj-r2 mean=3.4827428663789712 std=2.0504637548964117


2020-06-29 15:25:41.207400
Learning rate: 1e-06, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.6
Overall Results
ys:rmse   mean=150.6749725341797 std=82.77566528320312
ys:nrmse  mean=0.5649250793527647 std=0.3036215948454704
ys:r2     mean=-82.95256883843997 std=86.36096363715747
ys:adj-r2 mean=132.90257684081948 std=131.63060813623758
--------------------
el:rmse   mean=0.10735219717025757 std=0.031677719205617905
el:nrmse  mean=0.7428337327140522 std=0.6110305187867141
el:r2     mean=-3.0593749328071618 std=3.8588633540273545
el:adj-r2 mean=7.374747637899262 std=5.892333844960097


2020-06-29 18:51:41.534368
Learning rate: 1e-06, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.8
Overall Results
ys:rmse   mean=222.5828399658203 std=64.66069030761719
ys:nrmse  mean=0.8346488036226967 std=0.32973304511170315
ys:r2     mean=-225.8326511507104 std=267.537283053025
ys:adj-r2 mean=359.80725129264226 std=421.2467534125643
--------------------
el:rmse   mean=0.1568056344985962 std=0.06153139844536781
el:nrmse  mean=1.1057507014790777 std=0.949395351097037
el:r2     mean=-11.217257648771575 std=15.40381207563036
el:adj-r2 mean=20.091156637263808 std=23.729190140656222


2020-06-29 22:17:45.870711
Learning rate: 1e-06, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.9
Overall Results
ys:rmse   mean=264.3006286621094 std=42.332271575927734
ys:nrmse  mean=0.9672880952694662 std=0.04811426275609432
ys:r2     mean=-301.1180465627393 std=330.3511354836667
ys:adj-r2 mean=480.34824852613957 std=522.7068011267639
