2020-06-29 08:26:36.258804
Learning rate: 1e-06, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.2
Overall Results
ys:rmse   mean=32.572166442871094 std=16.816993713378906
ys:nrmse  mean=0.12427249105969951 std=0.06741892816775283
ys:r2     mean=-1.8076555637004226 std=3.19794189666011
ys:adj-r2 mean=5.441712925253255 std=4.91429374184068
--------------------
el:rmse   mean=0.03169665485620499 std=0.005049171391874552
el:nrmse  mean=0.2165370211797418 std=0.144089269063587
el:r2     mean=0.4690507546651557 std=0.7078493617869567
el:adj-r2 mean=1.823988173620511 std=1.081393089207929


2020-06-29 11:45:23.802775
Learning rate: 1e-06, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.4
Overall Results
ys:rmse   mean=46.64827346801758 std=19.404855728149414
ys:nrmse  mean=0.18580728869081578 std=0.11477120934274429
ys:r2     mean=-4.250545901581225 std=5.029343391224654
ys:adj-r2 mean=9.158183032230012 std=7.650647277898477
--------------------
el:rmse   mean=0.038337405771017075 std=0.014130649156868458
el:nrmse  mean=0.30539097589083625 std=0.2866252217641335
el:r2     mean=0.15856452103030771 std=1.5578124596971028
el:adj-r2 mean=2.3095616466435867 std=2.386003249720058


2020-06-29 15:03:36.470799
Learning rate: 1e-06, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.6
Overall Results
ys:rmse   mean=81.75981140136719 std=24.808767318725586
ys:nrmse  mean=0.31409353225595327 std=0.13987833269147612
ys:r2     mean=-24.711631446480276 std=26.729850744183302
ys:adj-r2 mean=41.42591094010753 std=41.26047652415896
--------------------
el:rmse   mean=0.06273385137319565 std=0.01858591102063656
el:nrmse  mean=0.4827059514474934 std=0.46203115291101526
el:r2     mean=-0.8026019206511821 std=2.7104707735265774
el:adj-r2 mean=3.816930695213725 std=4.1478106938660835


2020-06-29 18:22:15.776660
Learning rate: 1e-06, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.8
Overall Results
ys:rmse   mean=180.0052032470703 std=83.08895111083984
ys:nrmse  mean=0.6605234701874951 std=0.2921959814460404
ys:r2     mean=-128.85461617607587 std=148.09857491526674
ys:adj-r2 mean=207.9825887803865 std=234.29539648425617
