2020-06-06 12:51:17.797998
Learning rate: 0.0001, Weight decay: 1e-05, LR adjust start: 20000
Overall Results
ys:rmse   mean=15.2522554397583 std=14.167357444763184
ys:nrmse  mean=0.05655937995600964 std=0.0496924009654693
ys:r2     mean=0.5990322283071403 std=0.6597497329119503
ys:adj-r2 mean=1.4930511873057384 std=0.816197639915956
--------------------
el:rmse   mean=0.014023082330822945 std=0.0029316244181245565
el:nrmse  mean=0.0849911326139568 std=0.0449963505580028
el:r2     mean=0.9728939457724387 std=0.01692936035467968
el:adj-r2 mean=1.0324860859190006 std=0.021080932270222043


2020-06-06 14:06:51.566673
Learning rate: 0.0001, Weight decay: 1e-05, LR adjust start: 30000
Overall Results
ys:rmse   mean=15.241116523742676 std=12.294892311096191
ys:nrmse  mean=0.05627636218095986 std=0.043186807694787804
ys:r2     mean=0.6124100521888552 std=0.5354194140965399
ys:adj-r2 mean=1.4757841040240456 std=0.6631254414341183
--------------------
el:rmse   mean=0.013967570848762989 std=0.0016093585873022676
el:nrmse  mean=0.08243564416956725 std=0.036450910313616657
el:r2     mean=0.9738978532766268 std=0.014499139851480528
el:adj-r2 mean=1.031273127843501 std=0.01826183390812822


2020-06-06 15:37:20.462288
Learning rate: 0.0001, Weight decay: 1e-05, LR adjust start: 40000
Overall Results
ys:rmse   mean=13.577435493469238 std=9.001899719238281
ys:nrmse  mean=0.04980380492952323 std=0.03195888471136922
ys:r2     mean=0.6483440895343918 std=0.37340414199351096
ys:adj-r2 mean=1.431768231456513 std=0.4631261301650085
--------------------
el:rmse   mean=0.013350690715014935 std=0.003297979012131691
el:nrmse  mean=0.08232927788796789 std=0.04640318249894503
el:r2     mean=0.9767452138922174 std=0.01123872858861656
el:adj-r2 mean=1.027805359102294 std=0.013768787057467206


2020-06-06 16:46:51.315662
Learning rate: 0.0003, Weight decay: 1e-05, LR adjust start: 20000
Overall Results
ys:rmse   mean=12.436942100524902 std=9.412205696105957
ys:nrmse  mean=0.046685615893125455 std=0.03343579309040856
ys:r2     mean=0.7739446055956771 std=0.3173767287054205
ys:adj-r2 mean=1.2769619475561214 std=0.39331835927153597
--------------------
el:rmse   mean=0.01423644833266735 std=0.002747083781287074
el:nrmse  mean=0.08613499823686846 std=0.04349205961110286
el:r2     mean=0.973491466114979 std=0.013043790594652875
el:adj-r2 mean=1.0319231966039883 std=0.016621097971199258


2020-06-06 18:07:26.847595
Learning rate: 0.0003, Weight decay: 1e-05, LR adjust start: 30000
Overall Results
ys:rmse   mean=14.193804740905762 std=8.522622108459473
ys:nrmse  mean=0.05566441041003066 std=0.037500404253675124
ys:r2     mean=0.856280536608051 std=0.07933395274572215
ys:adj-r2 mean=1.1736620419677795 std=0.10122924430003767
--------------------
el:rmse   mean=0.013297135010361671 std=0.002735104179009795
el:nrmse  mean=0.07987551951842253 std=0.04020237493496606
el:r2     mean=0.9753907041685759 std=0.015640667718578326
el:adj-r2 mean=1.0297410871360853 std=0.01972947950083948


2020-06-06 19:39:35.277350
Learning rate: 0.0003, Weight decay: 1e-05, LR adjust start: 40000
Overall Results
ys:rmse   mean=15.1936674118042 std=10.178688049316406
ys:nrmse  mean=0.06075914160175951 std=0.045456759457921346
ys:r2     mean=0.8354706154673097 std=0.1363161727188877
ys:adj-r2 mean=1.1896549467748012 std=0.14787710877024576
--------------------
el:rmse   mean=0.012996147386729717 std=0.0029885261319577694
el:nrmse  mean=0.08013876203362127 std=0.04408299926215816
el:r2     mean=0.9787170041106009 std=0.008780787608734306
el:adj-r2 mean=1.0254692694644183 std=0.010989400838582217


2020-06-06 20:41:26.176292
Learning rate: 0.0005, Weight decay: 1e-05, LR adjust start: 20000
Overall Results
ys:rmse   mean=9.696939468383789 std=4.956827640533447
ys:nrmse  mean=0.037653183653764626 std=0.022380493572081262
ys:r2     mean=0.9123365017672169 std=0.04625636485254542
ys:adj-r2 mean=1.101731490081836 std=0.05073193076078084
--------------------
el:rmse   mean=0.013192057609558105 std=0.0029830969870090485
el:nrmse  mean=0.08131979729659469 std=0.04472984204513577
el:r2     mean=0.9782824779616706 std=0.008682615098599905
el:adj-r2 mean=1.0259356612725499 std=0.010853696744385577


2020-06-06 21:56:24.423899
Learning rate: 0.0005, Weight decay: 1e-05, LR adjust start: 30000
Overall Results
ys:rmse   mean=10.215021133422852 std=5.319985389709473
ys:nrmse  mean=0.03961195651847339 std=0.023247479950630326
ys:r2     mean=0.9095628762869211 std=0.052276326212778876
ys:adj-r2 mean=1.1047121219609668 std=0.05786697028090368
--------------------
el:rmse   mean=0.012821519747376442 std=0.0036054535303264856
el:nrmse  mean=0.08007258101557732 std=0.04685972056214933
el:r2     mean=0.9802846390111404 std=0.007384578301422968
el:adj-r2 mean=1.0234750470801184 std=0.009233542325704287


2020-06-06 23:30:52.896577
Learning rate: 0.0005, Weight decay: 1e-05, LR adjust start: 40000
Overall Results
ys:rmse   mean=12.04551887512207 std=6.763608932495117
ys:nrmse  mean=0.047309985827725436 std=0.030517867236592035
ys:r2     mean=0.8801474722253155 std=0.07318781843728556
ys:adj-r2 mean=1.1383283033536762 std=0.07858333225406143
--------------------
el:rmse   mean=0.012914694845676422 std=0.004193206317722797
el:nrmse  mean=0.08206325620997039 std=0.051444296444593925
el:r2     mean=0.9796527074007944 std=0.00885030994057756
el:adj-r2 mean=1.024267259127832 std=0.010732152731539393


2020-06-07 00:33:23.006083
Learning rate: 0.001, Weight decay: 1e-05, LR adjust start: 20000
Overall Results
ys:rmse   mean=23.71512222290039 std=15.556557655334473
ys:nrmse  mean=0.09407249304127359 std=0.06790770246150794
ys:r2     mean=0.6451098892390854 std=0.2253663491427286
ys:adj-r2 mean=1.4256468196245982 std=0.2841563569119502
--------------------
el:rmse   mean=0.012978428974747658 std=0.003714617807418108
el:nrmse  mean=0.0762044873697035 std=0.034809950265611886
el:r2     mean=0.9799990731206225 std=0.007362014893766429
el:adj-r2 mean=1.0236751247580351 std=0.008511949111923761


2020-06-07 01:46:56.172142
Learning rate: 0.001, Weight decay: 1e-05, LR adjust start: 30000
Overall Results
ys:rmse   mean=12.631990432739258 std=7.842597961425781
ys:nrmse  mean=0.0492602435954416 std=0.035397091170309536
ys:r2     mean=0.866511167972876 std=0.0638814195998924
ys:adj-r2 mean=1.161210433995422 std=0.08090445508790321
--------------------
el:rmse   mean=0.01244436763226986 std=0.0023899946827441454
el:nrmse  mean=0.075967139987454 std=0.03918242347630685
el:r2     mean=0.9810765397752604 std=0.006104651009212139
el:adj-r2 mean=1.0225680716053134 std=0.007634360941587419


2020-06-07 03:17:14.257239
Learning rate: 0.001, Weight decay: 1e-05, LR adjust start: 40000
Overall Results
ys:rmse   mean=12.732720375061035 std=5.5605082511901855
ys:nrmse  mean=0.04988159815366713 std=0.026359737451773554
ys:r2     mean=0.87398442430204 std=0.03176205831235398
ys:adj-r2 mean=1.148994713971055 std=0.03772386645736733
--------------------
el:rmse   mean=0.011736029759049416 std=0.003372673876583576
el:nrmse  mean=0.07104412423915658 std=0.0401319039802209
el:r2     mean=0.9825939869882696 std=0.008767154293412885
el:adj-r2 mean=1.0210141111604911 std=0.011259433255501132


2020-06-07 04:29:15.551970
Learning rate: 0.003, Weight decay: 1e-05, LR adjust start: 20000
Overall Results
ys:rmse   mean=10.206480979919434 std=3.8192288875579834
ys:nrmse  mean=0.039249261623681156 std=0.017595261010695838
ys:r2     mean=0.9001713259226719 std=0.041968516509916294
ys:adj-r2 mean=1.1171137929482249 std=0.0484071041321054
--------------------
el:rmse   mean=0.013587774708867073 std=0.0035335763823240995
