2020-06-29 07:43:15.486117
Learning rate: 1e-06, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.2
Overall Results
ys:rmse   mean=21.621232986450195 std=13.680669784545898
ys:nrmse  mean=0.08110003945106734 std=0.04927841873326087
ys:r2     mean=-0.27241455388578223 std=1.7128152624649182
ys:adj-r2 mean=3.1088960934554457 std=2.9461358712349113
--------------------
el:rmse   mean=0.018635446205735207 std=0.0060641528107225895
el:nrmse  mean=0.13125112716820467 std=0.11010339960972292
el:r2     mean=0.749801540546814 std=0.44689412625363695
el:adj-r2 mean=1.3898054972343203 std=0.6840843745872074


2020-06-29 10:25:25.726143
Learning rate: 1e-06, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.4
Overall Results
ys:rmse   mean=30.169240951538086 std=26.152374267578125
ys:nrmse  mean=0.1135002752972106 std=0.09644642395434266
ys:r2     mean=-1.6210653507847947 std=3.090751097089463
ys:adj-r2 mean=5.310054893218249 std=5.235260424791546
--------------------
el:rmse   mean=0.02146044373512268 std=0.01027702633291483
el:nrmse  mean=0.15765445434511377 std=0.12188607032871686
el:r2     mean=0.7111309869862237 std=0.4342393371734852
el:adj-r2 mean=1.4501915765334332 std=0.6656045594676773


2020-06-29 13:07:19.401440
Learning rate: 1e-06, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.6
Overall Results
ys:rmse   mean=30.0002384185791 std=14.968799591064453
ys:nrmse  mean=0.11538499291058708 std=0.06680844043973203
ys:r2     mean=-4.636227742336599 std=11.36053465208732
ys:adj-r2 mean=9.787918366901465 std=17.44385585583482
--------------------
el:rmse   mean=0.019415495917201042 std=0.009633087553083897
el:nrmse  mean=0.15628527351911883 std=0.1662333107556345
el:r2     mean=0.7659047252390748 std=0.3083123007634677
el:adj-r2 mean=1.362258708403925 std=0.47155971465511376


2020-06-29 15:51:05.794785
Learning rate: 1e-06, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.8
Overall Results
ys:rmse   mean=54.25526809692383 std=22.43030548095703
ys:nrmse  mean=0.21223718990394275 std=0.12885640961952527
ys:r2     mean=-8.484735607862788 std=9.84635885058609
ys:adj-r2 mean=15.990873521318203 std=15.239035445186854
--------------------
el:rmse   mean=0.04269131273031235 std=0.02640262432396412
el:nrmse  mean=0.2612414417258447 std=0.21026605545366556
el:r2     mean=0.28166495613334835 std=0.8002139076032005
el:adj-r2 mean=2.1313380922024994 std=1.2541983391891698


2020-06-29 18:33:00.886784
Learning rate: 1e-06, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.9
Overall Results
ys:rmse   mean=91.95024108886719 std=36.14202880859375
ys:nrmse  mean=0.33958860534919605 std=0.12911721541841023
ys:r2     mean=-37.16048721054416 std=44.42197295429517
ys:adj-r2 mean=61.421732817818096 std=70.46076735503571
--------------------
el:rmse   mean=0.05704108625650406 std=0.02383079007267952
el:nrmse  mean=0.3970221781624212 std=0.3646600041622346
el:r2     mean=-0.23499719980556572 std=1.2536440493990768
el:adj-r2 mean=2.945615371731562 std=1.9590606310034495


2020-06-29 21:15:56.722260
Learning rate: 1e-06, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.2
Overall Results
ys:rmse   mean=19.422300338745117 std=15.798895835876465
ys:nrmse  mean=0.07471743086028088 std=0.06366256090282128
ys:r2     mean=0.2494928983605877 std=0.6273193151316028
ys:adj-r2 mean=2.214642674532801 std=1.0528718721963666
--------------------
el:rmse   mean=0.022914940491318703 std=0.006881077773869038
el:nrmse  mean=0.15816380317842324 std=0.11842808264455028
el:r2     mean=0.6897006047435695 std=0.5236263781425061
el:adj-r2 mean=1.4841735423155784 std=0.8012968275528782


2020-06-29 23:58:32.371753
Learning rate: 1e-06, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.4
Overall Results
ys:rmse   mean=31.2415714263916 std=18.665733337402344
