2020-06-29 07:40:51.505633
Learning rate: 1e-06, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.2
Overall Results
ys:rmse   mean=28.446914672851562 std=19.74628257751465
ys:nrmse  mean=0.11106499411184716 std=0.08548640133771268
ys:r2     mean=-0.5815021750682511 std=1.5571512974719295
ys:adj-r2 mean=3.450298484519231 std=2.3726942831040843
--------------------
el:rmse   mean=0.02570037543773651 std=0.0101160928606987
el:nrmse  mean=0.15961729015810663 std=0.1320975400157144
el:r2     mean=0.7681872757280193 std=0.20560163854715371
el:adj-r2 mean=1.3630142302812285 std=0.3134680508838956


2020-06-29 10:11:58.238487
Learning rate: 1e-06, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.4
Overall Results
ys:rmse   mean=45.592002868652344 std=21.764450073242188
ys:nrmse  mean=0.17400587728614764 std=0.08856687002803625
ys:r2     mean=-4.849028519813493 std=5.627078736473351
ys:adj-r2 mean=10.144816075947004 std=8.596169078422832
--------------------
el:rmse   mean=0.036682043224573135 std=0.01994045451283455
el:nrmse  mean=0.2667622943612238 std=0.2719615594985646
el:r2     mean=-0.2719930459654424 std=2.6278903987967923
el:adj-r2 mean=2.954680084963723 std=4.027544942378801


2020-06-29 12:42:19.402855
Learning rate: 1e-06, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.6
Overall Results
ys:rmse   mean=82.96977233886719 std=31.052270889282227
ys:nrmse  mean=0.31023877193002375 std=0.1280918527424598
ys:r2     mean=-21.181183665841843 std=20.894148315617205
ys:adj-r2 mean=36.2121725494069 std=32.95000443689232
--------------------
el:rmse   mean=0.06790183484554291 std=0.031562983989715576
el:nrmse  mean=0.4510811920845127 std=0.36407116354554087
el:r2     mean=-0.4495672268038645 std=1.3598053215955375
el:adj-r2 mean=3.2900956578060074 std=2.1509950796102277


2020-06-29 15:13:05.792181
Learning rate: 1e-06, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.8
Overall Results
ys:rmse   mean=146.21994018554688 std=31.738359451293945
ys:nrmse  mean=0.5384067059894815 std=0.11858553193615509
ys:r2     mean=-94.99964218810142 std=116.58645213180571
ys:adj-r2 mean=152.876789992266 std=182.1030059230495
--------------------
el:rmse   mean=0.1077028289437294 std=0.04034825786948204
el:nrmse  mean=0.8385014293799756 std=0.8428623767122371
el:r2     mean=-5.653706457670058 std=12.308409350222655
el:adj-r2 mean=11.332330638192442 std=18.848417651329086


2020-06-29 17:43:36.550027
Learning rate: 1e-06, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.9
Overall Results
ys:rmse   mean=188.7104034423828 std=65.01923370361328
ys:nrmse  mean=0.6740874807581608 std=0.18724993321125316
ys:r2     mean=-178.8567438494298 std=200.48448788941343
ys:adj-r2 mean=287.53443406316114 std=320.22339859732926
--------------------
el:rmse   mean=0.13845382630825043 std=0.06580018252134323
el:nrmse  mean=0.9929761660328517 std=0.883694439823236
el:r2     mean=-8.103104728555827 std=16.030517592814466
el:adj-r2 mean=15.204048388509985 std=24.531269253060778


2020-06-29 20:15:13.738006
Learning rate: 1e-06, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.2
Overall Results
ys:rmse   mean=25.105710983276367 std=15.673276901245117
ys:nrmse  mean=0.09891855929562869 std=0.08312219189470417
ys:r2     mean=-1.3781333732516385 std=3.1607687523778525
ys:adj-r2 mean=4.826023684017655 std=5.231989616969504
--------------------
el:rmse   mean=0.026106689125299454 std=0.013257195241749287
el:nrmse  mean=0.21007344467383912 std=0.20340647530983344
el:r2     mean=0.4987131862288033 std=0.8515826690747843
el:adj-r2 mean=1.7835253409905245 std=1.307563200606471


2020-06-29 22:46:08.424250
Learning rate: 1e-06, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.4
Overall Results
ys:rmse   mean=39.77123260498047 std=14.160758018493652
ys:nrmse  mean=0.15196319029856026 std=0.06772314989806123
ys:r2     mean=-4.4078477065614035 std=5.948869498429684
ys:adj-r2 mean=9.564455473056963 std=9.350806258941839
--------------------
el:rmse   mean=0.03527459502220154 std=0.017505617812275887
el:nrmse  mean=0.25588404277875965 std=0.2542833155661274
el:r2     mean=-0.11587585763761643 std=2.2812336887534
el:adj-r2 mean=2.7326557942927487 std=3.4966397487635335


2020-06-30 01:15:49.018824
Learning rate: 1e-06, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.6
Overall Results
ys:rmse   mean=68.79991149902344 std=23.273212432861328
ys:nrmse  mean=0.2638136660701219 std=0.12433389402785325
ys:r2     mean=-15.068861658200223 std=17.473717550074664
ys:adj-r2 mean=26.569093540863737 std=27.992918552358553
--------------------
el:rmse   mean=0.07117307931184769 std=0.027491752058267593
el:nrmse  mean=0.500264098966501 std=0.4658118710232043
el:r2     mean=-0.4754316868926809 std=1.0259349670105085
el:adj-r2 mean=3.314265315793764 std=1.5669759738007965


2020-06-30 03:46:26.506406
Learning rate: 1e-06, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.8
Overall Results
ys:rmse   mean=171.54263305664062 std=104.15336608886719
ys:nrmse  mean=0.6359836949338394 std=0.40195891512038734
ys:r2     mean=-94.53080056401299 std=92.41669160512008
ys:adj-r2 mean=153.52572467899367 std=145.59248592228403
--------------------
el:rmse   mean=0.12344064563512802 std=0.05291927233338356
el:nrmse  mean=0.9504068752024685 std=0.932123603946972
el:r2     mean=-7.798254547290978 std=18.174784898960127
el:adj-r2 mean=14.701690124425625 std=27.822524513891377


2020-06-30 06:17:17.666825
Learning rate: 1e-06, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.9
Overall Results
ys:rmse   mean=227.76095581054688 std=79.97171020507812
ys:nrmse  mean=0.8500741822671243 std=0.3072265684914778
ys:r2     mean=-160.0471035620937 std=150.24312620882677
ys:adj-r2 mean=257.136770165822 std=237.90604097701035
--------------------
el:rmse   mean=0.15312092006206512 std=0.08389219641685486
el:nrmse  mean=1.0718105853536024 std=0.9035673942301238
