2020-06-29 07:49:04.332841
Learning rate: 1e-06, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.2
Overall Results
ys:rmse   mean=43.882713317871094 std=22.366540908813477
ys:nrmse  mean=0.16277858660758707 std=0.08003988002753343
ys:r2     mean=-5.652832313613802 std=8.220173802885126
ys:adj-r2 mean=11.43076858823068 std=12.596483736795614
--------------------
el:rmse   mean=0.030175164341926575 std=0.012111440300941467
el:nrmse  mean=0.20714942449681817 std=0.15493658692090628
el:r2     mean=0.5548250752359106 std=0.49731421643313417
el:adj-r2 mean=1.6868610802937827 std=0.7597808021539834


2020-06-29 10:39:11.460676
Learning rate: 1e-06, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.4
Overall Results
ys:rmse   mean=53.35564422607422 std=16.878868103027344
ys:nrmse  mean=0.20546124895050893 std=0.08872449690728416
ys:r2     mean=-7.973543263249885 std=10.210034714862187
ys:adj-r2 mean=15.036548599994514 std=15.56454373696906
--------------------
el:rmse   mean=0.04417070001363754 std=0.023583263158798218
el:nrmse  mean=0.2977029362351199 std=0.23948344515196035
el:r2     mean=-0.41749486418953285 std=1.7474703950341637
el:adj-r2 mean=3.1879572278846755 std=2.6738659722896103


2020-06-29 13:29:53.031858
Learning rate: 1e-06, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.6
Overall Results
ys:rmse   mean=118.77793884277344 std=26.591455459594727
ys:nrmse  mean=0.4525677958162925 std=0.15880146963265226
ys:r2     mean=-42.99129306654093 std=40.769046910670994
ys:adj-r2 mean=70.82133636566107 std=65.27197444752673
--------------------
el:rmse   mean=0.10896960645914078 std=0.047488998621702194
el:nrmse  mean=0.8534226411413492 std=0.9010625195410156
el:r2     mean=-6.562297443053369 std=12.52158363702249
el:adj-r2 mean=12.762186643112067 std=19.214241135167125


2020-06-29 16:20:13.373424
Learning rate: 1e-06, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.8
Overall Results
ys:rmse   mean=163.7641143798828 std=44.6626091003418
ys:nrmse  mean=0.5942611738309488 std=0.11890402547174564
ys:r2     mean=-140.9253265283343 std=173.8823248773511
ys:adj-r2 mean=224.9528815793175 std=270.2459701053597
--------------------
el:rmse   mean=0.16424159705638885 std=0.05495660752058029
el:nrmse  mean=1.093974784076788 std=0.8014911914301278
el:r2     mean=-12.129404047919358 std=19.666129690485885
el:adj-r2 mean=21.40992047346103 std=30.108264835084718


2020-06-29 19:11:08.562093
Learning rate: 1e-06, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.9
Overall Results
ys:rmse   mean=228.69821166992188 std=63.5512580871582
ys:nrmse  mean=0.8232324352414448 std=0.15066007237168225
ys:r2     mean=-258.60502676210433 std=298.842372155493
ys:adj-r2 mean=413.35813332475726 std=474.9151921648314
--------------------
el:rmse   mean=1.9633365869522095 std=1.7211014032363892
el:nrmse  mean=15.163600249964599 std=18.00214298765106
el:r2     mean=-3985.827196816345 std=9994.038028279556
el:adj-r2 mean=6158.94765649643 std=15317.450431619767


2020-06-29 22:01:30.041214
Learning rate: 1e-06, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.2
Overall Results
ys:rmse   mean=40.303871154785156 std=18.259546279907227
ys:nrmse  mean=0.1490746492580804 std=0.06368686554277839
ys:r2     mean=-8.564922558498864 std=16.606840964975714
ys:adj-r2 mean=16.720510478239575 std=28.3520941196292
--------------------
el:rmse   mean=0.03486551344394684 std=0.01672389917075634
el:nrmse  mean=0.24829054272917944 std=0.21397802303433275
el:r2     mean=0.35681216429933904 std=0.87288440908127
el:adj-r2 mean=1.996698550717765 std=1.334404659753224


2020-06-30 00:50:20.681651
Learning rate: 1e-06, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.4
Overall Results
ys:rmse   mean=61.058074951171875 std=27.404233932495117
ys:nrmse  mean=0.22497199508282906 std=0.09257451685487562
ys:r2     mean=-16.059412465503843 std=24.176448770769984
ys:adj-r2 mean=28.7713138370034 std=40.93586043789577
--------------------
el:rmse   mean=0.05512028932571411 std=0.02030150406062603
el:nrmse  mean=0.3394220647543453 std=0.18817059804260491
el:r2     mean=-0.3282140778965856 std=1.5663861544146318
el:adj-r2 mean=3.0499348347465896 std=2.393610513338559


2020-06-30 03:40:25.177189
Learning rate: 1e-06, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.6
Overall Results
ys:rmse   mean=128.96034240722656 std=24.878238677978516
ys:nrmse  mean=0.47679800870134537 std=0.08735107737365642
ys:r2     mean=-70.25408207681708 std=83.08136271913904
ys:adj-r2 mean=114.43102111781938 std=131.68684998532368
--------------------
el:rmse   mean=0.11865460872650146 std=0.05753076449036598
el:nrmse  mean=0.8714372928534899 std=0.8657420519211803
el:r2     mean=-5.811436039696157 std=9.679656596692979
el:adj-r2 mean=11.687609476363047 std=14.95242784428003


2020-06-30 06:31:21.165834
Learning rate: 1e-06, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.8
Overall Results
ys:rmse   mean=219.88333129882812 std=93.86310577392578
ys:nrmse  mean=0.83446813081694 std=0.40098665364529756
ys:r2     mean=-163.6580651021551 std=166.6466489203669
ys:adj-r2 mean=261.45078000649545 std=259.1623654103661
--------------------
el:rmse   mean=0.20786389708518982 std=0.10863681137561798
el:nrmse  mean=1.6796139588028889 std=2.151667896509514
el:r2     mean=-18.206364536953142 std=21.952581496950835
el:adj-r2 mean=31.017332161211005 std=33.72206308237354


2020-06-30 09:20:28.567416
Learning rate: 1e-06, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.9
Overall Results
ys:rmse   mean=232.58676147460938 std=55.938385009765625
ys:nrmse  mean=0.8516126644560098 std=0.1488496385018984
ys:r2     mean=-259.4629531146978 std=298.97610557926976
ys:adj-r2 mean=415.4752903056912 std=478.3747232926615
--------------------
el:rmse   mean=1.0049211978912354 std=1.2554093599319458
el:nrmse  mean=10.764622892185667 std=22.01485700843856
el:r2     mean=-550.4346685133785 std=1115.9237908035839
el:adj-r2 mean=849.3423401624593 std=1709.8492058477946


2020-06-30 12:11:13.809131
Learning rate: 1e-05, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.2
Overall Results
ys:rmse   mean=19.028549194335938 std=9.025396347045898
ys:nrmse  mean=0.069601631889964 std=0.030039379386174892
ys:r2     mean=-0.5001787356431207 std=2.7749691471387843
ys:adj-r2 mean=3.484951995172539 std=4.770882878590262
--------------------
el:rmse   mean=0.02145804464817047 std=0.009055184200406075
el:nrmse  mean=0.14079718535475316 std=0.08452754503006503
el:r2     mean=0.771382454760121 std=0.23504858954726532
el:adj-r2 mean=1.3608047551555846 std=0.36572491468262214


2020-06-30 15:01:24.258719
Learning rate: 1e-05, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.4
Overall Results
ys:rmse   mean=31.253463745117188 std=9.240039825439453
ys:nrmse  mean=0.11928596127546343 std=0.04547762453441457
ys:r2     mean=-2.0809516431012307 std=3.239417328041496
ys:adj-r2 mean=5.884224860470691 std=5.0235610367166785
--------------------
el:rmse   mean=0.026672253385186195 std=0.012383953668177128
el:nrmse  mean=0.19581850242092297 std=0.19467045733226415
el:r2     mean=0.6322342723524311 std=0.42813700978784264
el:adj-r2 mean=1.5707310078090748 std=0.6535302653938269


2020-06-30 17:51:08.007814
Learning rate: 1e-05, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.6
Overall Results
ys:rmse   mean=49.34016036987305 std=24.780574798583984
ys:nrmse  mean=0.17576519367830995 std=0.07501857054085864
ys:r2     mean=-18.127456065912366 std=25.00204244573442
ys:adj-r2 mean=31.073537407073722 std=38.717953786030506
--------------------
el:rmse   mean=0.03638818860054016 std=0.016232416033744812
el:nrmse  mean=0.2709577787867542 std=0.23846512655872798
el:r2     mean=0.04419252684362333 std=1.5999685077715462
el:adj-r2 mean=2.468676832858753 std=2.4516105956425394


2020-06-30 20:42:10.651504
Learning rate: 1e-05, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.8
Overall Results
ys:rmse   mean=77.02064514160156 std=36.16587829589844
ys:nrmse  mean=0.28084716447075037 std=0.12969593946535107
ys:r2     mean=-37.915642935285895 std=48.26227106431361
ys:adj-r2 mean=61.47876247065513 std=73.99548329982498
--------------------
el:rmse   mean=0.0925416424870491 std=0.042438872158527374
el:nrmse  mean=0.7445525007215477 std=0.8077750811193697
el:r2     mean=-5.369259733108374 std=13.517748358839343
el:adj-r2 mean=10.847633785384549 std=20.705105725104154


2020-06-30 23:33:08.169809
Learning rate: 1e-05, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.9
Overall Results
ys:rmse   mean=136.8011932373047 std=52.61103057861328
ys:nrmse  mean=0.5146103549762657 std=0.1971312722387775
ys:r2     mean=-69.55894900431386 std=97.05797039122321
ys:adj-r2 mean=110.11125534653998 std=148.46981317794786
--------------------
el:rmse   mean=0.11488410085439682 std=0.03832796961069107
el:nrmse  mean=0.8897702495107405 std=0.8892304061020198
el:r2     mean=-7.43114276004175 std=17.380869581379617
el:adj-r2 mean=14.039252816172066 std=26.61633620189462


2020-07-01 02:24:10.147966
Learning rate: 1e-05, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.2
Overall Results
ys:rmse   mean=25.41806983947754 std=18.22530746459961
ys:nrmse  mean=0.09327322739730651 std=0.06397359020080688
ys:r2     mean=-0.906043792681778 std=2.628115443665278
ys:adj-r2 mean=4.144308119056741 std=4.494234845372347
--------------------
el:rmse   mean=0.022967612370848656 std=0.009784610010683537
el:nrmse  mean=0.13707177138767307 std=0.06189316187102279
el:r2     mean=0.7815917630985222 std=0.2267100152901424
el:adj-r2 mean=1.342217371035638 std=0.3493097407956949


2020-07-01 05:13:22.671753
Learning rate: 1e-05, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.4
Overall Results
ys:rmse   mean=31.82769203186035 std=16.146364212036133
ys:nrmse  mean=0.12318769427954734 std=0.08131143893642209
ys:r2     mean=-1.035895014139846 std=1.6465048567014013
ys:adj-r2 mean=4.183331088395489 std=2.495339470086392
--------------------
el:rmse   mean=0.030357543379068375 std=0.014799120835959911
el:nrmse  mean=0.20401993748262925 std=0.16007600980215775
el:r2     mean=0.630592278596531 std=0.40778054041033246
el:adj-r2 mean=1.5818165052181217 std=0.6415477213609196


2020-07-01 08:05:40.198489
Learning rate: 1e-05, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.6
Overall Results
ys:rmse   mean=49.233863830566406 std=18.660675048828125
ys:nrmse  mean=0.18583409592033923 std=0.07825574679653532
ys:r2     mean=-6.709548962722119 std=8.301731475190673
ys:adj-r2 mean=13.29209388885728 std=12.951653280135675
--------------------
el:rmse   mean=0.04589826241135597 std=0.014130431227385998
el:nrmse  mean=0.3454019286071943 std=0.30577348901398116
el:r2     mean=-0.11182370165673321 std=2.0936530324469373
el:adj-r2 mean=2.7212078669827977 std=3.204032548450692


2020-07-01 10:55:45.587335
Learning rate: 1e-05, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.8
Overall Results
ys:rmse   mean=95.28544616699219 std=35.69376754760742
ys:nrmse  mean=0.35482436649432236 std=0.13483766109195752
ys:r2     mean=-21.927233574793462 std=18.21246911992667
