2020-07-03 22:59:07.477570
Learning rate: 5e-06, Weight decay: 1e-06, LR adjust start: 20000, Dropout: 0.01
Overall Results
ys:rmse   mean=28.107681274414062 std=13.741119384765625
ys:nrmse  mean=0.10918492531190839 std=0.0635589716213968
ys:r2     mean=0.5118542746305128 std=0.29179556115862454
ys:adj-r2 mean=1.3951655872038706 std=0.2362154542712675
--------------------
el:rmse   mean=0.018358170986175537 std=0.005938657093793154
el:nrmse  mean=0.11410290778140277 std=0.07283497036148998
el:r2     mean=0.9657564044111497 std=0.021412319006162778
el:adj-r2 mean=1.0277210059528787 std=0.017333782052608014


2020-07-03 23:42:16.305545
Learning rate: 5e-06, Weight decay: 1e-06, LR adjust start: 20000, Dropout: 0.05
Overall Results
ys:rmse   mean=37.19124221801758 std=8.762795448303223
ys:nrmse  mean=0.13665492165462595 std=0.02419833315436951
ys:r2     mean=-0.22334791342808535 std=1.1059976078944513
ys:adj-r2 mean=1.9903292632513072 std=0.8953313968669366
--------------------
el:rmse   mean=0.027996331453323364 std=0.010525939054787159
el:nrmse  mean=0.15820370740037007 std=0.06691275068155399
el:r2     mean=0.922123829996392 std=0.0475106165670497
el:adj-r2 mean=1.0630426138124447 std=0.03846097531618309


2020-07-04 00:27:29.873396
Learning rate: 5e-06, Weight decay: 1e-06, LR adjust start: 20000, Dropout: 0.1
Overall Results
ys:rmse   mean=51.4106330871582 std=8.984472274780273
ys:nrmse  mean=0.19430137819682378 std=0.05173439270113115
ys:r2     mean=-0.7325193476779231 std=0.9508915586465942
ys:adj-r2 mean=2.402515662405938 std=0.7697693569996238
--------------------
el:rmse   mean=0.03294668719172478 std=0.007445621304214001
el:nrmse  mean=0.18097285409402505 std=0.05163115146584165
el:r2     mean=0.8975376655850481 std=0.03668490152704153
el:adj-r2 mean=1.0829456992882944 std=0.029697301236176456


2020-07-04 01:10:22.874462
Learning rate: 5e-06, Weight decay: 1e-06, LR adjust start: 20000, Dropout: 0.15
Overall Results
ys:rmse   mean=39.67494201660156 std=7.517358303070068
ys:nrmse  mean=0.15088295112845715 std=0.04527991803337937
ys:r2     mean=0.06568496142806084 std=0.2680531271711667
ys:adj-r2 mean=1.756350269320141 std=0.21699538866237295
--------------------
el:rmse   mean=0.02176429145038128 std=0.0048804632388055325
el:nrmse  mean=0.12873804266086006 std=0.06716183813461384
el:r2     mean=0.952140415849826 std=0.020960315474058435
el:adj-r2 mean=1.0387434728834741 std=0.01696787443138062


2020-07-04 01:54:34.805010
Learning rate: 5e-06, Weight decay: 1e-06, LR adjust start: 20000, Dropout: 0.2
Overall Results
ys:rmse   mean=52.61520004272461 std=6.597696304321289
ys:nrmse  mean=0.19865003361961087 std=0.04506263729523375
ys:r2     mean=-0.6991227750138362 std=0.515192985852216
ys:adj-r2 mean=2.3754803416778674 std=0.41706098854703205
--------------------
el:rmse   mean=0.034134700894355774 std=0.0069098458625376225
el:nrmse  mean=0.1905420780354544 std=0.061406595932068084
el:r2     mean=0.890862736113526 std=0.032988275545535274
el:adj-r2 mean=1.0883492136223838 std=0.026704794489242865


2020-07-04 02:38:10.127423
