2020-06-03 08:25:36.089320
Learning rate: 0.0001, Weight decay: 1e-05, LR adjust start: 1000
Overall Results
ys:rmse   mean=15.901815414428711 std=20.487438201904297
ys:nrmse  mean=0.06067192271478879 std=0.07366868730921151
ys:r2     mean=0.4925221902062664 std=0.9307010915189822
ys:adj-r2 mean=1.8429622038637874 std=1.5991330819696592
--------------------
el:rmse   mean=0.014218052849173546 std=0.0073776850476861
el:nrmse  mean=0.10681631469856076 std=0.09324701690769131
el:r2     mean=0.8707019532960176 std=0.22025331474437906
el:adj-r2 mean=1.1998668515029531 std=0.33712432029558015


2020-06-03 09:02:23.235861
Learning rate: 0.0001, Weight decay: 1e-05, LR adjust start: 1000
Overall Results
ys:rmse   mean=15.901815414428711 std=20.487438201904297
ys:nrmse  mean=0.06067192271478879 std=0.07366868730921151
ys:r2     mean=0.4925221902062664 std=0.9307010915189822
ys:adj-r2 mean=1.8429622038637874 std=1.5991330819696592
--------------------
el:rmse   mean=0.014218052849173546 std=0.0073776850476861
el:nrmse  mean=0.10681631469856076 std=0.09324701690769131
el:r2     mean=0.8707019532960176 std=0.22025331474437906
el:adj-r2 mean=1.1998668515029531 std=0.33712432029558015


2020-06-03 09:39:16.817048
Learning rate: 0.0001, Weight decay: 1e-05, LR adjust start: 1000
Overall Results
ys:rmse   mean=10.914999961853027 std=9.474128723144531
ys:nrmse  mean=0.041336027868837354 std=0.03492004182974094
ys:r2     mean=0.74591761315835 std=0.26212053704424
ys:adj-r2 mean=1.4167956728564046 std=0.444874798705674
--------------------
el:rmse   mean=0.015449834987521172 std=0.008743627928197384
el:nrmse  mean=0.11725869508196825 std=0.10020059046318885
el:r2     mean=0.8333774894463124 std=0.2823815021008125
el:adj-r2 mean=1.2584673665087198 std=0.4321466751707692


2020-06-03 10:16:02.498879
Learning rate: 0.0001, Weight decay: 1e-05, LR adjust start: 1000
Overall Results
ys:rmse   mean=17.37619400024414 std=19.962535858154297
ys:nrmse  mean=0.06379230387296699 std=0.06981849538576544
ys:r2     mean=0.2837936422164556 std=0.9452847620297908
ys:adj-r2 mean=2.1779326628103464 std=1.6113076626782248
--------------------
el:rmse   mean=0.013962890021502972 std=0.005481273401528597
el:nrmse  mean=0.09759394889723419 std=0.07050174858193226
el:r2     mean=0.8867055265943307 std=0.17365448535758962
el:adj-r2 mean=1.1758679810815327 std=0.2654636562621737


2020-06-03 10:55:38.030699
Learning rate: 0.0001, Weight decay: 1e-05, LR adjust start: 5000
Overall Results
ys:rmse   mean=15.107732772827148 std=21.506282806396484
ys:nrmse  mean=0.053779573164553715 std=0.07529102932592789
ys:r2     mean=0.26860450996187063 std=1.0847728018855674
ys:adj-r2 mean=2.2250111365769274 std=1.8641861893920197
--------------------
el:rmse   mean=0.012980105355381966 std=0.006373035721480846
el:nrmse  mean=0.1065122147870492 std=0.10510098085120194
el:r2     mean=0.8495676588794175 std=0.3045909135106696
el:adj-r2 mean=1.232436582229437 std=0.4664900438537381


2020-06-03 11:35:12.376536
Learning rate: 0.0001, Weight decay: 1e-05, LR adjust start: 5000
Overall Results
ys:rmse   mean=16.37472915649414 std=19.70148468017578
ys:nrmse  mean=0.05961779375304812 std=0.06911086059265367
ys:r2     mean=0.10799156715690217 std=1.3355637534293523
