2020-06-06 12:16:31.122464
Learning rate: 0.0001, Weight decay: 1e-05, LR adjust start: 20000
Overall Results
ys:rmse   mean=19.104778289794922 std=13.581840515136719
ys:nrmse  mean=0.06934653514024977 std=0.04707872873421544
ys:r2     mean=0.3391820096989672 std=0.6849097523334928
ys:adj-r2 mean=1.8032231143521238 std=0.8515771307637712
--------------------
el:rmse   mean=0.01292211003601551 std=0.0024776700884103775
el:nrmse  mean=0.07876341347182424 std=0.04070370657696613
el:r2     mean=0.9789989366526779 std=0.00828700789056817
el:adj-r2 mean=1.0251098442201183 std=0.010392103032185473


2020-06-06 12:44:32.510300
Learning rate: 0.0001, Weight decay: 1e-05, LR adjust start: 30000
Overall Results
ys:rmse   mean=14.884145736694336 std=10.510132789611816
ys:nrmse  mean=0.054313000030188206 std=0.03637510751592092
ys:r2     mean=0.6078178673247543 std=0.43128928380237064
ys:adj-r2 mean=1.4783744157858085 std=0.5360069767258554
--------------------
el:rmse   mean=0.01334390975534916 std=0.0020288776140660048
el:nrmse  mean=0.07997705209457055 std=0.03762783346250993
el:r2     mean=0.977223163352489 std=0.009691279290139946
el:adj-r2 mean=1.027294174948371 std=0.012302957641959066


2020-06-06 13:17:27.603424
Learning rate: 0.0001, Weight decay: 1e-05, LR adjust start: 40000
Overall Results
ys:rmse   mean=17.495729446411133 std=10.777956008911133
ys:nrmse  mean=0.06440746903107383 std=0.03716234805756819
ys:r2     mean=0.5532221342836989 std=0.4692347788357369
ys:adj-r2 mean=1.540291206803767 std=0.5815987235956714
--------------------
el:rmse   mean=0.012442490085959435 std=0.0022987639531493187
el:nrmse  mean=0.07386188484962021 std=0.035533468963170105
el:r2     mean=0.9795975067723128 std=0.01018420280263808
el:adj-r2 mean=1.0243836344821795 std=0.012683314105862905


2020-06-06 13:44:31.319177
Learning rate: 0.0003, Weight decay: 1e-05, LR adjust start: 20000
Overall Results
ys:rmse   mean=18.272937774658203 std=17.22538948059082
ys:nrmse  mean=0.0663330314273042 std=0.060145477257163335
ys:r2     mean=0.33910890511487857 std=0.9556493233083385
ys:adj-r2 mean=1.8098751870679781 std=1.1838774958535057
--------------------
el:rmse   mean=0.012564333155751228 std=0.0019174348562955856
el:nrmse  mean=0.07402522425778266 std=0.03331869326066119
el:r2     mean=0.9786721651106982 std=0.011935084573206122
el:adj-r2 mean=1.0255724412199452 std=0.014985562660842291


2020-06-06 14:13:22.232637
Learning rate: 0.0003, Weight decay: 1e-05, LR adjust start: 30000
Overall Results
ys:rmse   mean=17.7291202545166 std=14.033445358276367
ys:nrmse  mean=0.06439555249492375 std=0.048580627863571396
ys:r2     mean=0.43240461146638387 std=0.6927859575916409
ys:adj-r2 mean=1.6921110776255996 std=0.8593588688491133
--------------------
el:rmse   mean=0.012997317127883434 std=0.0024033382069319487
el:nrmse  mean=0.07771709257990023 std=0.037566140421737546
el:r2     mean=0.9779119499552517 std=0.010493734322847215
el:adj-r2 mean=1.0264512955833394 std=0.01312485204359785


2020-06-06 14:45:41.226950
Learning rate: 0.0003, Weight decay: 1e-05, LR adjust start: 40000
Overall Results
ys:rmse   mean=17.738306045532227 std=17.779571533203125
ys:nrmse  mean=0.0637953393221686 std=0.06209163733299
ys:r2     mean=0.3161755911376719 std=0.9782289941912388
ys:adj-r2 mean=1.838800115764995 std=1.2113307612811717
--------------------
el:rmse   mean=0.01291512232273817 std=0.0027394974604249
el:nrmse  mean=0.07761389666348037 std=0.03950818865164085
el:r2     mean=0.9788512236776002 std=0.00882036871284628
el:adj-r2 mean=1.0252005049375033 std=0.010799457271070925


2020-06-06 15:12:27.781943
Learning rate: 0.0005, Weight decay: 1e-05, LR adjust start: 20000
Overall Results
ys:rmse   mean=18.808788299560547 std=16.339956283569336
ys:nrmse  mean=0.0689027513836292 std=0.056914673654447225
ys:r2     mean=0.3590509511528053 std=0.9168346307739418
ys:adj-r2 mean=1.7859020727949138 std=1.1357554096622504
--------------------
el:rmse   mean=0.01241987943649292 std=0.0023015395272523165
el:nrmse  mean=0.0716268735765668 std=0.03054495882769455
el:r2     mean=0.9783933576053874 std=0.013429952159331557
el:adj-r2 mean=1.0259259877494968 std=0.016867491596027687


2020-06-06 15:45:44.575558
Learning rate: 0.0005, Weight decay: 1e-05, LR adjust start: 30000
Overall Results
ys:rmse   mean=17.77145004272461 std=19.25642967224121
ys:nrmse  mean=0.06416323162283569 std=0.06735440870950016
ys:r2     mean=0.2926498018521726 std=1.1197657110662562
ys:adj-r2 mean=1.8699610737798118 std=1.3852627484450508
--------------------
el:rmse   mean=0.013647091574966908 std=0.0033225861843675375
el:nrmse  mean=0.08444436088807947 std=0.04592185456423241
el:r2     mean=0.9776968325275679 std=0.006620616581907719
el:adj-r2 mean=1.0266444448803749 std=0.008273508351305787


2020-06-06 16:23:08.236584
Learning rate: 0.0005, Weight decay: 1e-05, LR adjust start: 40000
Overall Results
ys:rmse   mean=17.112716674804688 std=16.7946720123291
ys:nrmse  mean=0.06185500415900077 std=0.058608803963067425
ys:r2     mean=0.358646567889211 std=0.8996476175438821
ys:adj-r2 mean=1.7886845541255982 std=1.1134614100181153
--------------------
el:rmse   mean=0.014593800529837608 std=0.003280732547864318
el:nrmse  mean=0.08937916331237347 std=0.046616363548925566
el:r2     mean=0.973724234085147 std=0.008979529459201174
el:adj-r2 mean=1.0315468073222225 std=0.011578302717000949


2020-06-06 16:51:39.495410
Learning rate: 0.001, Weight decay: 1e-05, LR adjust start: 20000
Overall Results
ys:rmse   mean=16.56378173828125 std=16.847640991210938
ys:nrmse  mean=0.0599703996644516 std=0.05884764763246333
ys:r2     mean=0.3849271693244128 std=0.8896879557679553
ys:adj-r2 mean=1.7573174512247527 std=1.1005578714609388
--------------------
el:rmse   mean=0.01403374969959259 std=0.0026220178697258234
el:nrmse  mean=0.0785861115430123 std=0.028294264723962206
el:r2     mean=0.9708130810993184 std=0.02144926961644135
el:adj-r2 mean=1.0350959655320395 std=0.026942585447730892


2020-06-06 17:24:56.503297
Learning rate: 0.001, Weight decay: 1e-05, LR adjust start: 30000
Overall Results
