2020-06-06 12:15:53.032651
Learning rate: 0.0001, Weight decay: 1e-05, LR adjust start: 20000
Overall Results
ys:rmse   mean=18.521772384643555 std=12.787524223327637
ys:nrmse  mean=0.0673864920416645 std=0.044089484597323834
ys:r2     mean=0.35743454255778107 std=0.677601826220119
ys:adj-r2 mean=1.7847195768472865 std=0.8422287612318965
--------------------
el:rmse   mean=0.012183884158730507 std=0.0021377122029662132
el:nrmse  mean=0.07195345834099962 std=0.03489405788991028
el:r2     mean=0.980149098883625 std=0.010979686467532897
el:adj-r2 mean=1.0236440982645196 std=0.013612622199279735


2020-06-06 12:44:30.382175
Learning rate: 0.0001, Weight decay: 1e-05, LR adjust start: 30000
Overall Results
ys:rmse   mean=21.28057861328125 std=17.095312118530273
ys:nrmse  mean=0.07818118390585274 std=0.0595246069607722
ys:r2     mean=0.23090385356898785 std=1.0491732295843503
ys:adj-r2 mean=1.9418592655963216 std=1.3003115719590037
--------------------
el:rmse   mean=0.013652446679770947 std=0.002280558692291379
el:nrmse  mean=0.08102336702037263 std=0.03694267698847218
el:r2     mean=0.9753382021186621 std=0.012313949361515577
el:adj-r2 mean=1.0296145028548698 std=0.01554234114385041


2020-06-06 13:17:08.475939
Learning rate: 0.0001, Weight decay: 1e-05, LR adjust start: 40000
Overall Results
ys:rmse   mean=17.530324935913086 std=13.366519927978516
ys:nrmse  mean=0.06377786953023099 std=0.04635627966446694
ys:r2     mean=0.40616234736260914 std=0.683913845519847
ys:adj-r2 mean=1.7277761522301973 std=0.8483403141391501
--------------------
el:rmse   mean=0.013907896354794502 std=0.0026939534582197666
el:nrmse  mean=0.08403147156379026 std=0.040997580315913267
el:r2     mean=0.975447047150124 std=0.00968382320747935
el:adj-r2 mean=1.0295227172260601 std=0.012430208711167583


2020-06-06 13:43:40.119758
Learning rate: 0.0003, Weight decay: 1e-05, LR adjust start: 20000
Overall Results
ys:rmse   mean=17.496570587158203 std=11.506534576416016
ys:nrmse  mean=0.064570337971274 std=0.040032660234835114
ys:r2     mean=0.5345299948747358 std=0.5360441275378177
ys:adj-r2 mean=1.5673819864812788 std=0.6657143961925256
--------------------
el:rmse   mean=0.012481692247092724 std=0.002973769558593631
el:nrmse  mean=0.07458414090519416 std=0.03735695871537355
el:r2     mean=0.9808622304577964 std=0.0070811309552945055
el:adj-r2 mean=1.0227393030442662 std=0.008614875835960538


2020-06-06 14:12:36.192366
Learning rate: 0.0003, Weight decay: 1e-05, LR adjust start: 30000
Overall Results
ys:rmse   mean=19.822145462036133 std=17.797056198120117
ys:nrmse  mean=0.07165566985349234 std=0.06193401793271379
ys:r2     mean=0.1809488004221902 std=1.0607879412512218
ys:adj-r2 mean=2.004718983355022 std=1.3144732352710304
--------------------
el:rmse   mean=0.014340189285576344 std=0.002856924431398511
el:nrmse  mean=0.08631810773734286 std=0.04173019152558168
el:r2     mean=0.9732196306964452 std=0.012085230899579967
el:adj-r2 mean=1.0322867327985066 std=0.015444920028420274


2020-06-06 14:45:22.322954
Learning rate: 0.0003, Weight decay: 1e-05, LR adjust start: 40000
Overall Results
ys:rmse   mean=18.03101921081543 std=12.96874713897705
ys:nrmse  mean=0.06556783579828301 std=0.044721063551299095
ys:r2     mean=0.41976528072045316 std=0.637101020638628
ys:adj-r2 mean=1.706766636081419 std=0.791265463236895
--------------------
el:rmse   mean=0.014256414957344532 std=0.002770719351246953
el:nrmse  mean=0.08601666311812359 std=0.04194708242361812
el:r2     mean=0.9738872794749854 std=0.011109455790421361
el:adj-r2 mean=1.0314566035230408 std=0.014267089740558212
